Date,Open,High,Low,Close,Volume
05/07/2025,"166.07","166.99","149.49","152.80","78,900,430"
05/06/2025,"163.96","166.74","163.13","165.20","10,691,950"
05/05/2025,"164.52","167.10","164.47","166.05","15,309,340"
05/02/2025,"164.96","166.70","163.66","165.81","16,844,939"
05/01/2025,"162.52","163.94","160.93","162.79","21,904,289"
04/30/2025,"159.86","161.37","157.16","160.89","20,639,520"
04/29/2025,"162.05","162.68","159.39","162.06","15,955,220"
04/28/2025,"164.26","164.95","160.38","162.42","20,871,150"
04/25/2025,"167.10","168.24","163.00","163.85","35,148,047"
04/24/2025,"158.53","161.71","158.09","161.47","30,787,480"
04/23/2025,"157.91","160.02","156.35","157.72","18,575,740"
04/22/2025,"151.07","154.61","150.87","153.90","15,910,330"
04/21/2025,"150.97","151.06","148.40","149.86","16,147,780"
04/17/2025,"156.61","157.07","150.90","153.36","19,513,410"
04/16/2025,"155.47","158.18","153.91","155.50","16,921,500"
04/15/2025,"161.57","162.05","157.65","158.68","15,690,780"
04/14/2025,"162.31","164.03","159.92","161.47","18,255,930"
04/11/2025,"155.59","159.86","155.59","159.40","22,581,990"
04/10/2025,"158.76","160.03","152.20","155.37","35,270,539"
04/09/2025,"146.33","161.87","145.81","161.06","46,479,539"
04/08/2025,"153.58","154.44","145.21","146.58","35,304,391"
04/07/2025,"143.39","154.93","142.66","149.24","47,823,020"
04/04/2025,"149.90","153.09","147.54","147.74","39,832,207"
04/03/2025,"152.84","154.69","152.18","152.63","28,416,070"
04/02/2025,"156.96","160.28","156.53","158.86","17,113,320"
04/01/2025,"155.30","160.08","155.26","158.88","20,111,381"
03/31/2025,"154.81","157.13","152.21","156.23","33,591,551"
03/28/2025,"162.36","163.81","155.34","156.06","34,866,461"
03/27/2025,"166.71","167.44","163.85","164.08","21,571,170"
03/26/2025,"171.30","171.94","166.86","167.14","22,554,240"
03/25/2025,"171.18","172.91","170.55","172.79","13,841,590"
03/24/2025,"169.27","170.50","167.44","169.93","18,742,850"
03/21/2025,"163.38","166.47","163.03","166.25","29,882,061"
03/20/2025,"163.83","167.03","163.14","165.05","19,981,510"
03/19/2025,"163.92","168.13","163.05","166.28","24,955,721"
03/18/2025,"165.96","166.44","158.80","162.67","24,616,779"
03/17/2025,"167.33","168.46","165.81","166.57","17,839,141"
03/14/2025,"165.32","168.25","164.51","167.62","18,611,090"
03/13/2025,"167.98","168.12","164.07","164.73","15,206,170"
03/12/2025,"168.47","169.53","165.48","169.00","19,880,061"
03/11/2025,"166.68","168.66","163.24","165.98","23,705,900"
03/10/2025,"170.16","170.45","165.57","167.81","28,990,721"
03/07/2025,"173.24","176.90","172.25","175.75","16,395,289"
03/06/2025,"172.55","176.73","172.51","174.21","19,082,400"
03/05/2025,"172.32","175.75","170.93","174.99","18,848,039"
03/04/2025,"167.94","175.17","167.54","172.61","30,711,410"
03/03/2025,"173.73","175.00","167.64","168.66","24,121,990"
02/28/2025,"170.30","172.50","168.39","172.22","30,049,811"
02/27/2025,"175.94","176.59","169.75","170.21","25,930,529"
02/26/2025,"176.95","178.08","173.59","174.70","23,693,250"
02/25/2025,"180.16","180.76","176.77","177.37","20,832,490"
02/24/2025,"183.80","185.09","180.88","181.19","18,734,010"
02/21/2025,"187.29","187.47","181.13","181.58","19,520,779"
02/20/2025,"186.50","187.12","184.60","186.64","12,063,810"
02/19/2025,"186.19","187.36","185.50","187.13","13,120,470"
02/18/2025,"187.44","187.78","183.58","185.80","19,796,029"
02/14/2025,"186.83","188.15","186.11","186.87","12,714,150"
02/13/2025,"185.93","187.99","184.88","187.88","12,729,330"
02/12/2025,"185.23","186.83","183.63","185.43","17,632,311"
02/11/2025,"186.84","188.80","186.08","187.07","13,028,100"
02/10/2025,"189.06","189.99","187.61","188.20","16,606,020"
02/07/2025,"192.74","193.02","185.10","187.14","29,565,721"
02/06/2025,"190.99","193.83","190.49","193.31","20,816,590"
02/05/2025,"193.10","194.55","189.91","193.30","43,719,594"
02/04/2025,"204.50","208.70","204.26","207.71","28,285,439"
02/03/2025,"202.22","205.22","201.66","202.64","16,719,471"
01/31/2025,"203.72","207.08","203.58","205.60","17,087,340"
01/30/2025,"199.76","203.24","199.47","202.63","14,571,480"
01/29/2025,"197.37","198.46","195.19","197.18","12,287,820"
01/28/2025,"194.65","197.23","192.61","197.07","15,939,160"
01/27/2025,"194.19","198.67","192.70","193.77","24,970,170"
01/24/2025,"199.85","202.57","199.78","201.90","12,732,380"
01/23/2025,"199.98","201.94","196.82","199.58","15,170,840"
01/22/2025,"200.55","202.12","199.20","200.03","15,477,380"
01/21/2025,"200.51","203.84","199.44","199.63","19,005,230"
01/17/2025,"198.05","198.81","195.31","197.55","22,109,131"
01/16/2025,"195.83","196.98","194.30","194.41","13,449,580"
01/15/2025,"194.35","197.80","193.33","196.98","12,894,880"
01/14/2025,"192.50","193.27","189.64","191.05","13,651,180"
01/13/2025,"191.35","192.49","188.66","192.29","13,169,060"
01/10/2025,"195.42","197.62","191.60","193.17","20,753,789"
01/08/2025,"193.95","197.64","193.75","195.39","14,335,340"
01/07/2025,"198.27","202.14","195.94","196.71","16,966,760"
01/06/2025,"195.15","199.56","195.06","197.96","19,483,320"
01/03/2025,"192.73","194.50","191.35","193.13","12,874,960"
01/02/2025,"191.49","193.20","188.71","190.63","17,545,160"
